province,year,avg_wait_time,procedures_with_wait_times,total_volume,procedures_with_volume,low_procedure_coverage,benchmark_pct,hospitals,other_institutions,physicians,other_professionals,drugs,public_health,administration,other_hcc,other_net,covid19,subtotal,capital,total_spending_per_capita,physicians_per_10k_population,physician_data_source,population_estimate,population_growth_rate,land_area_km2,average_age,median_age,percent_65_plus,rural_percent_estimate,urban_percent_estimate,population_density_per_km2,raw_efficiency,geographic_challenge,efficiency_gap,hospitals_efficiency,physicians_efficiency,drugs_efficiency,admin_efficiency,other_professionals_efficiency,public_health_efficiency,admin_overhead_pct,clinical_focus_pct,covid_period
British Columbia,2014,58.5,10.0,44143.0,10.0,False,75.6,1614.66,667.77,868.08,688.81,720.75,361.86,196.52,,613.42,,5731.87,223.36,5955.23,21.3,estimated,4712691,1.68,920686.55,43.1,42.8,20.3,60,40,5.12,101.79880341880342,0.552009783114063,559.7136965811966,27.601025641025643,14.83897435897436,12.320512820512821,3.3593162393162395,11.774529914529914,6.185641025641026,3.2999565088166207,41.690077461323924,False
British Columbia,2015,69.0,10.0,46509.0,10.0,False,71.2,1657.26,682.79,898.52,717.62,768.09,366.57,178.97,,599.47,,5869.29,242.13,6111.42,21.7,estimated,4765472,1.12,920686.55,43.1,42.8,20.3,60,40,5.18,88.57130434782609,0.5490528567492557,572.941195652174,24.018260869565218,13.022028985507246,11.131739130434783,2.593768115942029,10.400289855072463,5.312608695652174,2.9284519800635533,41.819740747649476,False
British Columbia,2016,72.2,10.0,48263.0,10.0,False,70.2,1671.54,693.84,922.69,744.41,782.44,372.53,197.41,,623.81,,6008.67,244.35,6253.02,22.1,estimated,4861269,2.01,920686.55,43.1,42.8,20.3,60,40,5.28,86.60692520775623,0.5442561980569088,574.9055747922438,23.151523545706368,12.779639889196677,10.837119113573408,2.734210526315789,10.310387811634348,5.159695290858725,3.157034520919491,41.48763317564953,False
British Columbia,2017,75.2,10.0,49495.0,10.0,False,69.6,1681.46,770.25,938.63,781.87,808.95,385.91,210.11,,647.4,,6224.57,220.53,6445.11,22.5,actual,4934202,1.5,920686.55,43.1,42.8,20.3,60,40,5.36,85.70625,0.5405322492573399,575.8062500000001,22.359840425531914,12.481781914893617,10.757313829787234,2.7940159574468084,10.39720744680851,5.131781914893617,3.2599909078355536,40.65237055690283,False
British Columbia,2018,38.2,12.0,268413.0,12.0,False,73.6,1756.63,842.67,962.1,849.19,846.62,398.16,275.79,,657.04,,6588.21,225.47,6813.68,22.9,interpolated,5020979,1.76,920686.55,43.1,42.8,20.3,60,40,5.45,178.36858638743456,0.5364576251165304,483.1439136125655,45.985078534031416,25.18586387434555,22.16282722513089,7.219633507853403,22.230104712041886,10.42303664921466,4.047592490401663,39.901052001268035,False
British Columbia,2019,34.6,12.0,287363.0,12.0,False,76.4,1821.69,904.79,1000.54,909.84,882.53,421.57,280.28,,731.49,,6952.74,213.92,7166.66,23.4,interpolated,5111022,1.79,920686.55,43.1,42.8,20.3,60,40,5.55,207.12890173410403,0.5320662920482262,454.383598265896,52.65,28.917341040462425,25.506647398843928,8.10057803468208,26.295953757225433,12.184104046242775,3.9108873589649846,39.37999012092104,False
British Columbia,2020,47.3,12.0,222460.0,12.0,False,66.2,1823.89,989.02,997.46,801.36,872.26,446.86,272.18,,708.59,705.9,7617.53,237.24,7854.77,23.8,interpolated,5176101,1.27,920686.55,43.1,42.8,20.3,60,40,5.62,166.06279069767444,0.5290738318813123,495.4497093023256,38.5600422832981,21.087949260042286,18.441014799154335,5.754334038054969,16.94207188160677,9.447357293868922,3.465155567890594,35.91893842849632,True
British Columbia,2021,33.0,12.0,308639.0,12.0,False,76.4,1863.8,1061.5,1083.33,978.08,867.88,480.62,311.23,,787.92,756.22,8190.57,358.92,8549.49,24.2,actual,5226665,0.98,920686.55,43.1,42.8,20.3,60,40,5.68,259.07545454545453,0.5265602277248892,402.4370454545455,56.47878787878788,32.82818181818182,26.29939393939394,9.431212121212122,29.63878787878788,14.564242424242424,3.6403341018002244,34.47141291468848,True
British Columbia,2022,37.8,12.0,299625.0,12.0,False,72.2,2013.36,1105.63,1109.84,1067.4,943.04,581.85,341.77,,941.11,171.82,8275.83,443.64,8719.47,24.6,estimated,5358845,2.53,920686.55,43.1,42.8,20.3,60,40,5.82,230.67380952380952,0.5208714568226134,430.83869047619055,53.263492063492066,29.36084656084656,24.94814814814815,9.041534391534391,28.238095238095244,15.392857142857144,3.9196189676666124,35.818690814923386,False
British Columbia,2023,46.3,12.0,316139.0,12.0,False,69.8,2072.18,1130.26,1248.41,1126.81,961.78,599.03,356.58,,994.7,,8489.74,592.58,9082.32,25.1,estimated,5515296,2.92,920686.55,43.1,42.8,20.3,60,40,5.99,196.1624190064795,0.5142761632601445,465.3500809935206,44.75550755939525,26.963498920086398,20.772786177105832,7.701511879049676,24.337149028077754,12.938012958963283,3.9260893692360543,36.56103286384977,False
British Columbia,2024,50.2,12.0,326838.0,12.0,False,71.8,2284.49,1197.94,1341.23,1169.23,992.68,643.43,368.88,,1063.42,,9061.31,611.82,9673.13,25.6,estimated,5671114,2.83,920686.55,43.1,42.8,20.3,60,40,6.16,192.69183266932268,0.5079984402750876,468.82066733067734,45.50776892430278,26.717729083665336,19.77450199203187,7.3482071713147405,23.291434262948208,12.817330677290835,3.81345024826504,37.482386776565605,False
Manitoba,2008,76.9,5.0,7848.0,5.0,False,77.6,1746.21,719.48,701.02,528.27,748.52,384.1,186.43,,493.86,,5507.9,144.71,5652.61,13.5,estimated,1197767,,540310.19,39.7,38.4,17.1,60,40,2.22,73.50598179453836,0.8551530190111949,588.0065182054617,22.707542262678803,9.11599479843953,9.733680104031208,2.4243172951885565,6.869570871261378,4.994798439531859,3.298122460244029,43.29380587020864,False
Manitoba,2009,76.2,5.0,7587.0,5.0,False,79.5,1865.85,729.5,738.41,526.94,812.11,427.21,196.59,,531.56,,5828.17,212.29,6040.46,13.7,estimated,1208555,0.9,540310.19,39.7,38.4,17.1,60,40,2.24,79.27112860892389,0.8506487640090683,582.2413713910762,24.486220472440944,9.69041994750656,10.65761154855643,2.5799212598425196,6.915223097112861,5.606430446194225,3.254553461160243,43.11360393082646,False
Manitoba,2010,82.8,5.0,7681.0,5.0,False,77.5,1951.65,754.0,791.91,514.1,871.2,433.63,199.37,,544.7,,6060.56,236.4,6296.96,13.8,estimated,1220782,1.01,540310.19,39.7,38.4,17.1,60,40,2.26,76.05024154589373,0.8462189953067872,585.4622584541063,23.570652173913047,9.564130434782609,10.521739130434783,2.4078502415458938,6.208937198067633,5.2370772946859905,3.166130958430735,43.56959548734628,False
Manitoba,2011,42.5,7.0,49742.0,7.0,False,77.3,2000.71,742.12,806.89,543.16,858.81,444.9,208.57,,562.05,,6167.21,245.57,6412.78,13.9,estimated,1233353,1.03,540310.19,39.7,38.4,17.1,60,40,2.28,150.88894117647058,0.8418617985717807,510.6235588235295,47.075529411764705,18.985647058823528,20.20729411764706,4.907529411764706,12.780235294117647,10.468235294117646,3.252411590605011,43.781324168301424,False
Manitoba,2012,37.1,7.0,57241.0,7.0,False,69.8,2021.13,766.02,837.29,554.9,844.74,451.88,214.62,,623.4,,6313.99,348.62,6662.61,14.1,estimated,1249094,1.28,540310.19,39.7,38.4,17.1,60,40,2.31,179.5851752021563,0.8354580497845012,481.92732479784377,54.47789757412399,22.568463611859837,22.769272237196766,5.784905660377358,14.95687331536388,12.180053908355795,3.2212601367932385,42.902406114120446,False
Manitoba,2013,45.0,9.0,66107.0,9.0,False,75.4,2033.76,784.03,906.2,535.44,824.41,463.51,214.58,,653.26,,6415.18,336.56,6751.74,14.2,estimated,1263393,1.14,540310.19,39.7,38.4,17.1,60,40,2.34,150.03866666666667,0.8292074685431796,511.47383333333335,45.19466666666666,20.137777777777778,18.32022222222222,4.7684444444444445,11.898666666666667,10.300222222222223,3.1781437081404205,43.54373835485371,False
Manitoba,2014,47.0,9.0,69727.0,9.0,False,79.2,2014.1,923.34,950.7,568.21,805.38,479.35,218.55,,675.83,,6635.47,206.14,6841.6,14.4,estimated,1277425,1.11,540310.19,39.7,38.4,17.1,60,40,2.36,145.5659574468085,0.82512269283218,515.9465425531915,42.8531914893617,20.227659574468085,17.135744680851065,4.65,12.089574468085107,10.198936170212766,3.1944282039289056,43.33489242282507,False
Manitoba,2015,61.9,9.0,50525.0,9.0,False,73.2,2153.2,941.1,988.47,585.66,796.44,507.49,212.63,,707.58,,6892.57,196.63,7089.2,14.5,estimated,1293598,1.27,540310.19,39.7,38.4,17.1,60,40,2.39,114.52665589660744,0.8191149172191798,546.9858441033927,34.785137318255245,15.968820678513733,12.866558966074315,3.4350565428109854,9.461389337641357,8.198546042003231,2.9993511256559273,44.316283924843425,False
Manitoba,2016,60.7,9.0,73287.0,9.0,False,69.8,2212.59,954.31,1033.92,614.3,827.29,513.77,227.52,,739.41,,7123.1,114.51,7237.62,14.7,estimated,1314140,1.59,540310.19,39.7,38.4,17.1,60,40,2.43,119.23591433278418,0.8113193581662195,542.2765856672158,36.451235584843495,17.0332784184514,13.629159802306424,3.74827018121911,10.120263591433277,8.464085667215814,3.1435748215573627,44.85604383761513,False
Manitoba,2017,49.4,9.0,87552.0,9.0,False,64.2,2150.32,989.56,1011.63,634.0,829.76,517.68,247.42,,790.69,,7171.06,116.72,7287.78,14.8,actual,1334734,1.57,540310.19,39.7,38.4,17.1,60,40,2.47,147.52591093117408,0.8037586364714582,513.986589068826,43.52874493927126,20.47834008097166,16.79676113360324,5.008502024291498,12.834008097165992,10.479352226720646,3.3949982024704366,43.387012231434,False
Manitoba,2018,42.3,9.0,98534.0,9.0,False,61.4,2047.8,992.91,1042.87,642.1,868.62,544.55,295.19,,772.73,,7206.78,111.26,7318.04,15.0,interpolated,1352687,1.35,540310.19,39.7,38.4,17.1,60,40,2.5,173.0033096926714,0.798235600147928,488.50919030732865,48.4113475177305,24.65413711583924,20.534751773049646,6.978486997635934,15.179669030732862,12.873522458628841,4.033730343097332,42.23357620346432,False
Manitoba,2019,43.7,9.0,100378.0,9.0,False,65.4,2019.33,1011.58,1083.82,652.07,876.49,571.59,304.95,,817.78,,7337.61,143.6,7481.21,15.1,interpolated,1370033,1.28,540310.19,39.7,38.4,17.1,60,40,2.54,171.19473684210524,0.7910599297729712,490.3177631578948,46.208924485125856,24.801372997711667,20.056979405034323,6.978260869565217,14.921510297482838,13.079862700228833,4.076212270474963,41.47925268773366,False
Manitoba,2020,54.1,9.0,77816.0,9.0,False,59.2,1964.24,1050.21,1038.12,570.28,881.52,654.98,291.93,,801.86,751.24,8004.37,154.21,8158.58,15.2,interpolated,1380132,0.74,540310.19,39.7,38.4,17.1,60,40,2.55,150.80554528650646,0.7892986239110913,510.7069547134936,36.30757855822551,19.18890942698706,16.29426987060998,5.3961182994454715,10.541219963031423,12.106839186691312,3.5781962057122687,36.80003137800941,True
Manitoba,2021,47.9,9.0,103367.0,9.0,False,64.2,2065.44,1071.78,1055.88,716.57,928.52,709.33,310.31,,847.09,775.1,8480.02,191.56,8671.58,15.4,actual,1391924,0.85,540310.19,39.7,38.4,17.1,60,40,2.58,181.03507306889352,0.7840906130212338,480.4774269311065,43.119832985386225,22.043423799582467,19.38455114822547,6.478288100208768,14.959707724425888,14.80855949895616,3.5784712820500997,35.99482447258747,True
